id,traditional,pinyin,english,topic,topic_english,part_of_speech,level,simplified,relative_freq_pct
4648,一旁,"yìpáng ",aside,,,(N),4,一旁,0.00170522
4649,一齊,"yìqí ",together,,,(Adv),4,一齐,0.000974682
4650,一天到晚,"yìtiāndàowăn ",all day long,,,(Adv),4,一天到晚,0.000282661
4651,易,"yì ",easy,,,(VS),4,易,0.0120359
4652,意識,"yìshì ",consciousness,,,(N),4,意识,0.00840707
4653,意願,yìyuàn,Willingness,,,(N),4,意愿,0.0014472
4654,意志,"yìzhì ",will,,,(N),4,意志,0.00189972
4655,億,"yì ",100 million,,,(Det),4,亿,
4656,義務,"yìwù ",obligation,,,(N),4,义务,0.00402942
4657,議會,"yìhuì ",parliament,,,(N),4,议会,0.00193483
4658,因而,"yīnér ",thus,,,(Conj),4,因而,0.00484687
4659,因素,"yīnsù ",factor,,,(N),4,因素,0.0159419
4660,銀,"yín ",silver,,,(N),4,银,0.00962134
4661,引發,"yĭnfā ",cause,,,(VA),4,引发,0.00505604
4662,飲,"yĭn ",drink,,,(VA),4,饮,0.00272873
4663,飲食,"yĭnshí ",diet,,,(N),4,饮食,0.00291086
4664,印,"yìn ",print,,,(VA),4,印,0.00565935
4665,印刷,"yìnshuā ",print,,,(VA),4,印刷,0.0010349
4666,印象,"yìnxiàng ",impression,,,(N),4,印象,0.00468623
4667,印章,"yìnzhāng ",seal,,,(N),4,印章,0.00037341
4668,應當,"yīngdāng ",should,,,(Adv),4,应当,0.009577
4669,嬰兒,"yīngér ",baby,,,(N),4,婴儿,0.00272741
4670,英雄,"yīngxióng ",hero,,,(N),4,英雄,0.00641648
4671,贏得,"yíngdé ",win,,,(VS),4,赢得,0.00503503
4672,迎接,"yíngjiē ",meet,,,(VA),4,迎接,0.00315121
4673,營業,"yíngyè ",Business,,,(VA),4,营业,0.00253095
4674,影本,"yĭngběn ",photocopy,,,(N),4,影本,0.00000937388
4675,影印,"yĭngyìn ",Photocopy,,,(VA),4,影印,0.0000785228
4676,影子,"yĭngzi ",shadow,,,(N),4,影子,0.00149514
4677,硬,"yìng ",hard,,,(VS),4,硬,0.00459551
4678,應付,"yìngfù ",cope,,,(VA),4,应付,0.0016775
4679,應邀,"yìngyāo ",invited,,,(VA),4,应邀,0.000771117
4680,應用,"yìngyòng ",application,,,(VA),4,应用,0.0145753
4681,擁抱,"yŏngbào ",Embrace,,,(VA),4,拥抱,0.00227851
4682,擁護,"yŏnghù ",support,,,(VA),4,拥护,0.000961239
4683,擁擠,"yŏngjĭ ",crowded,,,(VS),4,拥挤,0.000994348
4684,勇氣,"yŏngqì ",courage,,,(N),4,勇气,0.00292477
4685,用不著,yòngbùzháo,No need,,,(Adv),4,用不着,0.000560781
4686,用處,"yòngchù ",usefulness,,,(N),4,用处,0.000385651
4687,用得著,yòngdezháo,Useful,,,(VS),4,用得着,0.000203947
4688,用具,"yòngjù ",Utensils,,,(N),4,用具,0.000364493
4689,用力,"yònglì ",Use force,,,(VS),4,用力,0.00166015
4690,用心,"yòngxīn ",Careful,,,(VS),4,用心,0.00206325
4691,憂鬱,"yōuyù ",melancholy,,,(VS),4,忧郁,0.000854383
4692,優惠,"yōuhuì ",discount,,,(VS),4,优惠,0.00619409
4693,優良,"yōuliáng ",excellent,,,(VS),4,优良,0.00209103
4694,優美,"yōuměi ",beautiful,,,(VS),4,优美,0.00143419
4695,優越,"yōuyuè ",superior,,,(VS),4,优越,0.000777172
4696,由,"yóu ",depend on,,,(Prep),4,由,0.0682452
4697,油膩,"yóunì ",greasy,,,(VS),4,油腻,0.00040629
4698,游,"yóu ",tour,,,(VA),4,游,0.00682707
4699,郵差,"yóuchāi ",postman,,,(N),4,邮差,0.0000784644
4700,郵件,"yóujiàn ",mail,,,(N),4,邮件,0.00177252
4701,遊戲,"yóuxì ",game,,,(N),4,游戏,0.0202878
4702,遊戲,"yóuxì ",game,,,(VA),4,游戏,0.0202878
4703,遊行,"yóuxíng ",procession,,,(VA),4,游行,0.00121213
4704,猶豫,"yóuyù ",hesitate,,,(VS),4,犹豫,0.00182425
4705,友好,"yŏuhăo ",friendly,,,(VS),4,友好,0.00391458
4706,有關,"yŏuguān ",related,,,(Prep),4,有关,0.0398454
4707,有關,"yŏuguān ",related,,,(VS),4,有关,0.0398454
4708,有力,"yŏulì ",powerful,,,(VS),4,有力,0.00345901
4709,有利,"yŏulì ",favorable,,,(VS),4,有利,0.00301249
4710,有些,"yŏuxiē ",some,,,(Adv),4,有些,0.0280793
4711,有些,"yŏuxiē ",some,,,(Det),4,有些,0.0280793
4712,娛樂,"yúlè ",entertainment,,,(N),4,娱乐,0.00802381
4713,語調,"yŭdiào ",intonation,,,(N),4,语调,0.000271083
4714,語氣,"yŭqì ",Tone,,,(N),4,语气,0.0015367
4715,語音,"yŭyīn ",voice,,,(N),4,语音,0.00140624
4716,與其,"yŭqí ",Instead of,,,(Conj),4,与其,0.00279639
4717,遇,"yù ",encounter,,,(VS),4,遇,0.00505861
4718,遇見,"yùjiàn ",meet,,,(VA),4,遇见,0.00240066
4719,預報,"yùbào ",forecast,,,(N),4,预报,0.00110008
4720,預定,"yùdìng ",Reserve,,,(VA),4,预定,0.00130611
4721,預訂,"yùdìng ",Booking,,,(VA),4,预订,0.00206469
4722,預計,"yùjì ",expected,,,(VA),4,预计,0.0106198
4723,預算,"yùsuàn ",Budget,,,(N),4,预算,0.00362166
4724,預先,"yùxiān ",advance,,,(Adv),4,预先,0.000615686
4725,冤枉,"yuānwăng ",unjustly accused,,,(VS),4,冤枉,0.000503592
4726,元旦,"yuándàn ",New Year,,,(N),4,元旦,0.00259639
4727,原理,"yuánlĭ ",principle,,,(N),4,原理,0.00206384
4728,原料,"yuánliào ",raw material,,,(N),4,原料,0.00379854
4729,原始,"yuánshĭ ",original,,,(VS),4,原始,0.00199372
4730,原先,"yuánxiān ",original,,,(Adv),4,原先,0.00151184
4731,原則,"yuánzé ",in principle,,,(N),4,原则,0.0116752
4732,原則上,"yuánzéshàng ",In principle,,,(Adv),4,原则上,0.000696206
4733,原子筆,"yuánzĭbĭ ",ballpoint pen,,,(N),4,原子笔,
4734,圓滿,"yuánmăn ",perfect,,,(VS),4,圆满,0.00197221
4735,圓形,"yuánxíng ",round,,,(N),4,圆形,0.000863459
4736,緣故,"yuángù ",reason,,,(N),4,缘故,0.000922878
4737,遠大,"yuăndà ",far and wide,,,(VS),4,远大,0.000414299
4738,願,"yuàn ",willing,,,(VS),4,愿,0.00543536
4739,月份,"yuèfèn ",month,,,(N),4,月份,0.011069
4740,月光,"yuèguāng ",moonlight,,,(N),4,月光,0.000864415
4741,月球,"yuèqiú ",Moon,,,(N),4,月球,0.000934361
4742,暈,"yūn ",faint,,,(VS),4,晕,0.00345415
4743,允許,"yŭnxŭ ",allow,,,(VA),4,允许,0.00603144
4744,運輸,"yùnshū ",transportation,,,(VA),4,运输,0.00622056
4745,運送,"yùnsòng ",transport,,,(VA),4,运送,0.000845805
4746,運用,"yùnyòng ",use,,,(VA),4,运用,0.00644112
4747,運轉,"yùnzhuăn ",run,,,(VA),4,运转,0.00146503
4748,砸,"zá ",smash,,,(VA),4,砸,0.00398748
4749,雜,"zá ",miscellaneous,,,(VS),4,杂,0.0020419
4750,災害,"zāihài ",disaster,,,(N),4,灾害,0.00166358
4751,災難,"zāinàn ",disaster,,,(N),4,灾难,0.00143614
4752,在乎,"zàihū ",care,,,(VS),4,在乎,0.0027774
4753,再度,"zàidù ",once again,,,(Adv),4,再度,0.00340861
4754,再說,"zàishuō ",Say it again,,,(Conj),4,再说,0.00344988
4755,載,"zài ",load,,,(VA),4,载,0.010308
4756,咱們,"zánmen ",we,,,(N),4,咱们,0.00551849
4757,贊成,"zànchéng ",Agree,,,(VS),4,赞成,0.00142724
4758,贊同,"zàntóng ",Agree,,,(VS),4,赞同,0.00130761
4759,讚美,"zànměi ",praise,,,(VA),4,赞美,0.000850134
4760,葬禮,zànglĭ,funeral,,,(N),4,葬礼,0.000390681
4761,糟,"zāo ",Bad,,,(VS),4,糟,0.000843777
4762,糟糕,"zāogāo ",Oops,,,(VS),4,糟糕,0.00163722
4763,遭到,"zāodào ",suffered,,,(VS),4,遭到,0.00456267
4764,遭受,"zāoshòu ",suffer,,,(VS),4,遭受,0.002425
4765,遭遇,"zāoyù ",encounter,,,(N),4,遭遇,0.0044256
4766,早晨,"zăochén ",morning,,,(N),4,早晨,0.00330619
4767,早點,"zăodiăn ",early,,,(Adv),4,早点,0.00224408
4768,早點,"zăodiăn ",early,,,(N),4,早点,0.00224408
4769,早已,"zăoyĭ ",Already,,,(Adv),4,早已,0.00475585
4770,造,"zào ",make,,,(VA),4,造,0.00370399
4771,造句,"zàojù ",Make sentences,,,(VA),4,造句,0.0000971113
4772,則,"zé ",but,,,(Adv),4,则,0.0433477
4773,則,"zé ",but,,,(M),4,则,0.0433477
4774,怎,"zěn ",How,,,(Adv),4,怎,0.00459754
4775,增長,"zēngzhăng ",increase,,,(VS),4,增长,0.0323471
4776,贈品,"zèngpĭn ",giveaway,,,(N),4,赠品,0.000257636
4777,贈送,"zèngsòng ",give away,,,(VA),4,赠送,0.00202818
4778,窄,"zhăi ",narrow,,,(VS),4,窄,0.00163882
4779,展出,"zhănchū ",display,,,(VA),4,展出,0.00137816
4780,展開,"zhănkāi ",Expand,,,(VA),4,展开,0.00828256
4781,展覽,"zhănlăn ",exhibition,,,(N),4,展览,0.00235783
4782,展覽,"zhănlăn ",exhibition,,,(VA),4,展览,0.00235783
4783,展示,"zhănshì ",exhibit,,,(VA),4,展示,0.0062108
4784,占/佔,"zhàn ",account for / account for,,,(VA),4,占/佔,
4785,占/佔,"zhàn ",account for / account for,,,(VS),4,占/佔,
4786,占/佔有,"zhànyŏu ",occupy/possess,,,(VS),4,占/佔有,
4787,站住,"zhànzhù ",stop,,,(VA),4,站住,0.000286628
4788,戰場,"zhànchăng ",battlefield,,,(N),4,战场,0.00227546
4789,章,"zhāng ",chapter,,,(M),4,章,0.00308615
4790,長輩,zhǎngbèi,elder,,,(N),4,长辈,0.000481589
4791,漲,"zhăng ",rise,,,(VS),4,涨,0.00823993
4792,漲價,"zhăngjià ",price increase,,,(VS),4,涨价,0.00176538
4793,掌聲,"zhăngshēng ",applause,,,(N),4,掌声,0.00170853
4794,帳單,"zhàngdān ",bill,,,(N),4,帐单,
4795,丈夫,"zhàngfū ",husband,,,(N),4,丈夫,0.00579331
4796,招呼,"zhāohū ",call,,,(VA),4,招唿,
4797,招手,"zhāoshŏu ",wave,,,(VA),4,招手,0.000363961
4798,照常,"zhàocháng ",as usual,,,(VS),4,照常,0.000342744
4799,召開,"zhàokāi ",convene,,,(VA),4,召开,0.0119498
4800,折,"zhé ",fold,,,(VA),4,折,0.00638003
4801,折合,"zhéhé ",converted,,,(VA),4,折合,0.0005401
4802,折扣,"zhékòu ",Discount,,,(N),4,折扣,0.00111232
4803,折磨,"zhémó ",torture,,,(VA),4,折磨,0.00179203
4804,者,"zhě ",who,,,(N),4,者,0.0181097
4805,針,"zhēn ",Needle,,,(N),4,针,0.00349454
4806,針對,"zhēnduì ",against,,,(Prep),4,针对,0.0102629
4807,偵探,"zhēntàn ",detective,,,(N),4,侦探,0.000397633
4808,珍惜,"zhēnxí ",cherish,,,(VS),4,珍惜,0.00529475
4809,珍珠,"zhēnzhū ",pearl,,,(N),4,珍珠,0.00121176
4810,枕頭,"zhěntou ",Pillow,,,(N),4,枕头,0.000817423
4811,陣,"zhèn ",Array,,,(M),4,阵,0.00418626
4812,陣子,"zhènzi ",a while,,,(N),4,阵子,0.000227076
4813,震動,"zhèndòng ",shock,,,(VA),4,震动,0.00100348
4814,爭,"zhēng ",fight,,,(VA),4,争,0.00497765
4815,爭論,"zhēnglùn ",debate,,,(VA),4,争论,0.00163723
4816,爭取,"zhēngqŭ ",strive for,,,(VA),4,争取,0.0062175
4817,睜,"zhēng ",open eyes,,,(VA),4,睁,0.00108365
4818,徵求,"zhēngqiú ",seek,,,(VA),4,征求,0.00169377
4819,正月,"zhēngyuè ",first month,,,(N),4,正月,0.000778377
4820,整潔,"zhěngjié ",tidy,,,(VS),4,整洁,0.000630126
4821,整數,"zhěngshù ",integer,,,(N),4,整数,0.000317092
4822,正方形,"zhèngfāngxíng ",square,,,(N),4,正方形,0.000116167
4823,正規,"zhèngguī ",regular,,,(VS),4,正规,0.00157602
4824,正好,"zhènghăo ",Just right,,,(Adv),4,正好,0.00334582
4825,正好,"zhènghăo ",Just right,,,(VS),4,正好,0.00334582
4826,正經,"zhèngjīng ",serious,,,(VS),4,正经,0.00056076
4827,正面,"zhèngmiàn ",front,,,(N),4,正面,0.00234767
4828,政策,"zhèngcè ",policy,,,(N),4,政策,0.0291394
4829,政黨,"zhèngdăng ",political party,,,(N),4,政党,0.00113817
4830,政府,"zhèngfŭ ",government,,,(N),4,政府,0.0526262
4831,證件,"zhèngjiàn ",Documents,,,(N),4,证件,0.00143083
4832,證據,"zhèngjù ",evidence,,,(N),4,证据,0.00413526
4833,證實,"zhèngshí ",Confirm,,,(VA),4,证实,0.00505393
4834,症狀,"zhèngzhuàng ",symptom,,,(N),4,症状,0.00963176
4836,之,"zhī ",of,,,(P),4,之,0.109949
4837,之類,"zhīlèi ",and the like,,,(N),4,之类,
4838,支持,"zhīchí ",support,,,(VA),4,支持,0.0365189
4839,支出,"zhīchū ",expenditure,,,(VA),4,支出,0.00358273
4840,支票,"zhīpiào ",Cheque,,,(N),4,支票,0.000439829
4841,支援,"zhīyuán ",support,,,(VA),4,支援,0.00229017
4842,直接,"zhíjiē ",direct,,,(VS),4,直接,0.0252984
4843,直線,"zhíxiàn ",straight line,,,(Adv),4,直线,0.00109418
4844,值,"zhí ",value,,,(VS),4,值,0.0148814
4845,擲,"zhí ",Throw,,,(VA),4,掷,0.000449734
4846,職位,"zhíwèi ",Position,,,(N),4,职位,0.00188282
4847,執行,"zhíxíng ",implement,,,(VA),4,执行,0.0145503
4848,止,"zhǐ ",end,,,(VS),4,止,0.00366633
4849,指出,"zhĭchū ",point out,,,(VA),4,指出,0.0167907
4850,指導,"zhĭdăo ",guide,,,(VA),4,指导,0.0101545
4851,指定,"zhĭdìng ",Specify,,,(VA),4,指定,0.00278663
4852,指示,"zhĭshì ",instruct,,,(N),4,指示,0.00304109
4853,指示,"zhĭshì ",instruct,,,(VA),4,指示,0.00304109
4854,指責,"zhǐzé ",accuse,,,(VA),4,指责,0.00210545
4855,紙張,"zhĭzhāng ",paper,,,(N),4,纸张,0.000373484
4856,治,"zhì ",rule,,,(VA),4,治,0.00663474
4857,至,"zhì ",to,,,(VA),4,至,0.0489406
4858,制定,"zhìdìng ",formulate,,,(VA),4,制定,0.0103611
4859,制止,zhìzhĭ,stop,,,(VA),4,制止,0.00159199
4860,志氣,"zhìqì ",ambition,,,(N),4,志气,0.000166648
4861,志願,"zhìyuàn ",volunteer,,,(N),4,志愿,0.00208658
4862,秩序,"zhìxù ",order,,,(N),4,秩序,0.00430949
4863,製造,"zhìzào ",manufacture,,,(VA),4,制造,0.00876662
4864,製作,"zhìzuò ",make,,,(VA),4,制作,0.00737663
4865,中級,"zhōngjí ",intermediate,,,(N),4,中级,0.000817115
4866,中年,"zhōngnián ",middle aged,,,(N),4,中年,0.00227629
4867,中途,"zhōngtú ",halfway,,,(N),4,中途,0.0007856
4868,中央,"zhōngyāng ",central,,,(N),4,中央,0.0119277
4869,中藥,"zhōngyào ",traditional Chinese medicine,,,(N),4,中药,0.00312373
4870,腫,"zhŏng ",swell,,,(VS),4,肿,0.00510917
4871,種類,"zhŏnglèi ",type,,,(N),4,种类,0.00176228
4872,種子,"zhŏngzĭ ",seed,,,(N),4,种子,0.00366385
4873,種族,"zhŏngzú ",Race,,,(N),4,种族,0.000673586
4874,中毒,"zhòngdú ",Poisoned,,,(VS),4,中毒,0.00220773
4875,重大,"zhòngdà ",major,,,(VS),4,重大,0.0131786
4876,重量,"zhòngliàng ",weight,,,(N),4,重量,0.00213029
4877,重傷,"zhòngshāng ",seriously injured,,,(N),4,重伤,0.00115774
4878,重傷,"zhòngshāng ",seriously injured,,,(VS),4,重伤,0.00115774
4879,重心,"zhòngxīn ",center of gravity,,,(N),4,重心,0.000971766
4880,州,"zhōu ",state,,,(N),4,州,0.00479773
4881,周/週,"zhōu ",week/week,,,(M),4,周/週,
4882,周到,"zhōudào ",thoughtful,,,(VS),4,周到,0.0005436
4883,粥,"zhōu ",Porridge,,,(N),4,粥,0.00242962
4884,竹(子),zhú(zi),bamboo),,,(N),4,竹(子),
4885,逐漸,"zhújiàn ",gradually,,,(Adv),4,逐渐,0.00843709
4886,主辦,"zhŭbàn ",host,,,(VA),4,主办,0.00453942
4887,主持,"zhŭchí ",host,,,(VA),4,主持,0.00452398
4888,主觀,"zhŭguān ",subjective,,,(VS),4,主观,0.00132393
4889,主角/角,zhŭjiăo/jué,Protagonist/Character,,,(N),4,主角/角,
4890,主席,"zhŭxí ",President,,,(N),4,主席,0.00984288
4891,主張,"zhŭzhāng ",advocate,,,(N),4,主张,0.00320252
4892,主張,"zhŭzhāng ",advocate,,,(VA),4,主张,0.00320252
4893,祝賀,"zhùhè ",congratulate,,,(VA),4,祝贺,0.00202618
4894,住院,"zhùyuàn ",Hospitalized,,,(VA),4,住院,0.00262201
4895,住宅,"zhùzhái ",Residential,,,(N),4,住宅,0.00636781
4896,住址,zhùzhĭ,address,,,(N),4,住址,0.000261215
4897,注射,"zhùshè ",injection,,,(VA),4,注射,0.00274358
4898,註冊,"zhùcè ",register,,,(VA),4,註册,
4899,專家,"zhuānjiā ",expert,,,(N),4,专家,0.0201752
4900,專利,"zhuānlì ",patent,,,(N),4,专利,0.0030748
4901,專門,"zhuānmén ",specialized,,,(VS),4,专门,0.0085276
4902,專人,"zhuānrén ",Dedicated person,,,(N),4,专人,0.000815331
4903,轉變,"zhuănbiàn ",change,,,(VS),4,转变,0.00591954
4904,轉播,"zhuănbò ",broadcast,,,(VA),4,转播,0.000762009
4905,轉達,"zhuăndá ",convey,,,(VA),4,转达,0.000319115
4906,轉告,"zhuăngào ",convey,,,(VA),4,转告,0.000341124
4907,轉機,"zhuănjī ",turning point,,,(VA),4,转机,0.000484425
4908,轉身,"zhuănshēn ",turn around,,,(VA),4,转身,0.00299603
4909,轉向,"zhuănxiàng ",turn,,,(VA),4,转向,0.00251567
4910,賺,"zhuàn ",earn,,,(VA),4,赚,0.00433889
4911,裝飾,"zhuāngshì ",decorate,,,(VA),4,装饰,0.00335011
4912,壯,"zhuàng ",strong,,,(VS),4,壮,0.00123576
4913,撞,"zhuàng ",Collide,,,(VA),4,撞,0.00386881
4914,狀況,"zhuàngkuàng ",situation,,,(N),4,状况,0.010564
4915,追,"zhuī ",Chase,,,(VA),4,追,0.00883677
4916,准,"zhŭn ",allow,,,(VA),4,准,0.008829
4917,准考證/証,"zhŭnkăozhèng ",Admission ticket/certificate,,,(N),4,准考证/証,
4918,準,"zhŭn ",allow,,,(VS),4,准,0.008829
4919,準確,"zhŭnquè ",precise,,,(VS),4,准确,0.00520988
4920,捉,"zhuō ",catch,,,(VA),4,捉,0.00100794
4921,桌,"zhuō ",table,,,(M),4,桌,0.00342521
4922,資本,"zīběn ",capital,,,(N),4,资本,0.00924813
4923,資格,"zīgé ",qualifications,,,(N),4,资格,0.00594278
4924,資金,"zījīn ",funds,,,(N),4,资金,0.0265863
4925,資訊,"zīxùn ",information,,,(N),4,资讯,0.00187282
4926,紫,"zĭ ",purple,,,(VS),4,紫,0.0040833
4927,子女,"zĭnǚ ",child,,,(N),4,子女,0.00310682
4928,字幕,"zìmù ",screen text,,,(N),4,字幕,0.000771329
4929,字母,"zìmŭ ",letter,,,(N),4,字母,0.00086535
4930,自來水,zìláishuĭ,tap water,,,(N),4,自来水,0.00104005
4931,自私,"zìsī ",Selfish,,,(VS),4,自私,0.00106412
4932,自我,"zìwǒ ",self,,,(N),4,自我,0.0071388
4933,自願,"zìyuàn ",voluntary,,,(VS),4,自愿,0.00157546
4934,自主,"zìzhŭ ",Autonomy,,,(VS),4,自主,0.0055069
4935,總,"zǒng ",total,,,(Adv),4,总,0.0342188
4936,總共,"zǒnggòng ",total,,,(Adv),4,总共,0.00147466
4937,總理,"zǒnglĭ ",Prime Minister,,,(N),4,总理,0.00575475
4938,綜合,"zònghé ",comprehensive,,,(VA),4,综合,0.0146545
4939,綜合,"zònghé ",comprehensive,,,(VS),4,综合,0.0146545
4940,走道,"zǒudào ",aisle,,,(N),4,走道,0.000116592
4941,走私,"zǒusī ",smuggling,,,(VA),4,走私,0.00110321
4942,足,zú,foot,,,(VS),4,足,0.00782522
4943,足以,"zúyĭ ",sufficient,,,(VS),4,足以,0.00228095
4944,組織,"zŭzhī ",organize,,,(N),4,组织,0.0389499
4945,阻礙,"zŭài ",hinder,,,(VA),4,阻碍,0.00142676
4946,阻止,zŭzhĭ,Prevent,,,(VA),4,阻止,0.0030167
4947,祖國,"zŭguó ",motherland,,,(N),4,祖国,0.00472581
4948,鑽,"zuān ",Drill,,,(VA),4,钻,0.0027565
4949,鑽石,zuànshí,diamond,,,(N),4,钻石,0.00132902
4950,罪,"zuì ",crime,,,(N),4,罪,0.00439321
4951,最少,"zuìshăo ",least,,,(Adv),4,最少,0.00110679
4952,遵守,"zūnshŏu ",obey,,,(VS),4,遵守,0.00231172
4953,尊重,"zūnzhòng ",respect,,,(VS),4,尊重,0.00526558
4954,左右,"zuŏyòu ",about,,,(N),4,左右,0.0230793
4955,左右,"zuŏyòu ",about,,,(N),4,左右,0.0230793
4956,作家,"zuòjiā ",writer,,,(N),4,作家,0.00328692
4957,作為,"zuòwéi ",as,,,(VA),4,作为,0.0418787
4958,作文,"zuòwén ",composition,,,(N),4,作文,0.00147109
4959,作文,"zuòwén ",composition,,,(VA),4,作文,0.00147109
4960,作用,"zuòyòng ",effect,,,(N),4,作用,0.0306154
4961,做客,"zuòkè ",be a guest,,,(VA),4,做客,0.00084665
4962,挨,"āi ",suffer,,,(VS),5,挨,0.00155452
4963,欸,ăi,Yeah,,,(P),5,欸,0.000132323
4964,愛戴,"àidài ",love,,,(VS),5,爱戴,0.000297834
4965,愛國,"àiguó ",patriotic,,,(VS),5,爱国,0.0017938
4966,愛滋病,"àizībìng ",AIDS,,,(N),5,爱滋病,
4967,安頓,"āndùn ",settle in,,,(VA),5,安顿,0.00021382
4968,安撫,"ānfŭ ",appease,,,(VS),5,安抚,0.00049348
4969,安寧,"ānníng ",peaceful,,,(VS),5,安宁,0.000614087
4970,安詳,"ānxiáng ",serene,,,(VS),5,安详,0.000253424
4971,安置,"ānzhì ",Placement,,,(VA),5,安置,0.00222469
4972,暗暗,"ànàn ",secretly,,,(Adv),5,暗暗,0.000767782
4973,案件,"ànjiàn ",case,,,(N),5,案件,0.00865175
4974,案情,"ànqíng ",case,,,(N),5,案情,0.000547753
4975,案子,"ànzi ",case,,,(N),5,案子,0.000731486
4976,按摩,"ànmó ",massage,,,(VA),5,按摩,0.00230265
4977,昂貴,"ángguì ",expensive,,,(VS),5,昂贵,0.000967862
4978,奧妙,"àomiào ",secret,,,(VS),5,奥妙,0.000208387
4979,懊惱,"àonăo ",upset,,,(VS),5,懊恼,0.000254183
4980,八卦,"bāguà ",Gossip,,,(N),5,八卦,0.00100145
4981,八字,"bāzì ",character,,,(N),5,八字,0.000255474
4982,把持,"băchí ",control,,,(VA),5,把持,0.000250657
4983,把手,"băshǒu ",handle,,,(N),5,把手,0.00124793
4984,白皮書,"báipíshū ",white paper,,,(N),5,白皮书,0.000313592
4985,拜會,"bàihuì ",call,,,(VA),5,拜会,0.000153296
4986,頒發,"bānfā ",issued,,,(VA),5,颁发,0.00166911
4987,頒獎,"bānjiăng ",Awards,,,(VA),5,颁奖,0.00258459
4988,辦案,"bànàn ",handling cases,,,(VA),5,办案,0.00127377
4989,半島,"bàndăo ",peninsula,,,(N),5,半岛,0.000521607
4990,半導體,"bàndăotǐ ",semiconductor,,,(N),5,半导体,0.000602839
4991,綁,"băng ",tie,,,(VA),5,绑,0.00112727
4992,包袱,"bāofú ",burden,,,(N),5,包袱,0.000838041
4993,包圍,"bāowéi ",surround,,,(VA),5,包围,0.00140729
4994,寶,"băo ",precious,,,(N),5,宝,0.0140941
4995,寶石,"băoshí ",gem,,,(N),5,宝石,0.000747658
4996,飽和,"băohé ",saturation,,,(VS),5,饱和,0.00065154
4997,飽滿,"băomăn ",full,,,(VS),5,饱满,0.00072412
4998,保安,"băoān ",security guard,,,(N),5,保安,0.00279586
4999,保管,"băoguăn ",custody,,,(VA),5,保管,0.000965807
5000,保齡球,"băolíngqiú ",bowling,,,(N),5,保龄球,0.000188641
5001,保姆,"băomŭ ",nanny,,,(N),5,保姆,0.00102969
5002,保全,"băoquán ",preservation,,,(VA),5,保全,0.000441773
5003,保佑,"băoyòu ",bless,,,(VS),5,保佑,0.0012841
5004,保重,"băozhòng ",Take care of yourself,,,(VS),5,保重,0.000434762
5005,報案,"bàoàn ",Report the crime,,,(VA),5,报案,0.00109092
5006,報表,"bàobiăo ",Report,,,(N),5,报表,0.000986323
5007,報酬,"bàochóu ",remuneration,,,(N),5,报酬,0.00119045
5008,報復,"bàofù ",revenge,,,(VA),5,报复,0.00131941
5009,報關,"bàoguān ",customs clearance,,,(VA),5,报关,0.00021715
5010,報價,"bàojià ",quote,,,(N),5,报价,0.00220908
5011,報刊,"bàokān ",press,,,(N),5,报刊,0.00129992
5012,報應,"bàoyìng ",retribution,,,(N),5,报应,0.000350397
5013,報章,bàozhāng,newspaper,,,(N),5,报章,0.0000743803
5014,暴雨,"bàoyŭ ",rainstorm,,,(N),5,暴雨,0.00138346
5015,爆發,"bàofā ",break out,,,(VS),5,爆发,0.00351629
5016,抱負,"bàofù ",ambition,,,(N),5,抱负,0.000178412
5017,抱歉,bàoqiàn,Feel sorry,,,(VS),5,抱歉,0.000872456
5018,碑,"bēi ",monument,,,(N),5,碑,0.000857075
5019,悲哀,"bēiāi ",sorrow,,,(VS),5,悲哀,0.00140535
5020,悲觀,"bēiguān ",pessimistic,,,(VS),5,悲观,0.000733977
5021,貝殼,"bèiké ",shell,,,(N),5,贝壳,0.000224872
5022,倍數,"bèishù ",multiple,,,(N),5,倍数,0.000251555
5023,背誦,"bèisòng ",recite,,,(VA),5,背诵,0.000237725
5024,背心,"bèixīn ",Vest,,,(N),5,背心,0.000746219
5025,被子,"bèizi ",Quilt,,,(N),5,被子,0.00161639
5026,奔騰,"bēnténg ",Galloping,,,(VA),5,奔腾,0.000742231
5027,本事,"běnshì ",ability,,,(N),5,本事,0.00148005
5028,本位,"běnwèi ",standard,,,(N),5,本位,0.000208015
5029,本性,"běnxìng ",nature,,,(N),5,本性,0.00066956
5030,本質,běnzhí,nature,,,(N),5,本质,0.00249879
5031,崩潰,"bēngkuì ",collapse,,,(VS),5,崩溃,0.00183525
5032,甭,"béng ",Don't,,,(Adv),5,甭,0.000339281
5033,敝,bì,our,,,(Det),5,敝,0.000428277
5034,必,"bì ",must,,,(Adv),5,必,0.00712409
5035,編輯,"biānjí ",edit,,,(N),5,编辑,0.00878954
5036,編輯,"biānjí ",edit,,,(VA),5,编辑,0.00878954
5037,編寫,"biānxiě ",write,,,(VA),5,编写,0.00101215
5038,編織,"biānzhī ",braid,,,(VA),5,编织,0.000600592
5039,編制,"biānzhì ",prepared by,,,(N),5,编制,0.00379088
5040,編製,"biānzhì ",prepared by,,,(VA),5,编制,0.00379088
5041,邊界,"biānjiè ",boundary,,,(N),5,边界,0.00141239
5042,邊緣,"biānyuán ",edge,,,(N),5,边缘,0.00202721
5043,貶,"biăn ",derogatory,,,(VS),5,贬,0.000306098
5044,貶值,"biănzhí ",depreciation,,,(VS),5,贬值,0.000631821
